[Header]2022-06-12 00:03:17,845 [ 1] INFO  SNSelfOrder.App: ==Startup=====================>>>
2022-06-12 00:03:17,860 [ 1] INFO  SNSelfOrder.App: Config:C:\Users\user\Desktop\SNSelfOrder
2022-06-12 00:03:17,861 [ 1] INFO  SNSelfOrder.App: App_root path=:C:\Users\user\Desktop\SNSelfOrder
2022-06-12 00:03:17,861 [ 1] INFO  SNSelfOrder.App: PRPosUtils App Root Path =C:\Users\user\Desktop\SNSelfOrder
2022-06-12 00:03:17,861 [ 1] INFO  SNSelfOrder.App: Application_Startup at C:\Users\user\source\repos\SNSelfOrder\bin\Debug\net5.0-windows\
2022-06-12 00:03:17,861 [ 1] INFO  SNSelfOrder.App: PRPosUtils App Root Path =C:\Users\user\Desktop\SNSelfOrder
2022-06-12 00:03:17,863 [ 1] INFO  SNSelfOrder.App: data source=C:\Users\user\Desktop\SNSelfOrder\db\prposdb.db3
2022-06-12 00:03:18,470 [ 1] INFO  SNSelfOrder.App: http://35.201.9.186/
2022-06-12 00:03:18,470 [ 1] INFO  SNSelfOrder.App: zh-TW
2022-06-12 00:03:18,470 [ 1] INFO  SNSelfOrder.App: zh-TW
2022-06-12 00:03:18,470 [ 1] INFO  SNSelfOrder.App: NT$
2022-06-12 00:03:18,470 [ 1] INFO  SNSelfOrder.App: yyyy'年'M'月'd'日'
2022-06-12 00:03:18,470 [ 1] INFO  SNSelfOrder.App: yyyy/M/d
2022-06-12 00:03:18,470 [ 1] INFO  SNSelfOrder.App: tt hh:mm:ss
2022-06-12 00:03:19,714 [ 1] INFO  SNSelfOrder.App: CheckCode send:{"Code":"01036027","MAC":"1C-1B-0D-EC-67-CF","RetCode":"","Message":"","Token":"","CustomerID":"","Store_code":"","ExpiryDate":"","Pos_Code":"","Pos_Name":"","PosID":"","CustomerName":"","Set_Code":"","AccessCode":"","Config_code":"","SalePriceColumn":"","TakeawayPriceColumn":"","UBereatPriceColumn":"","PhoneOrderPriceColumn":""}
2022-06-12 00:03:20,229 [ 1] INFO  SNSelfOrder.App:  CheckCode return:{"Code":"01036027","MAC":"1C-1B-0D-EC-67-CF","RetCode":"0","Message":"","Token":"0957cffe8d16449db1c21f36c27e3802","CustomerID":"3","Store_code":"TW","ExpiryDate":"24/03/2023","Pos_Code":"OT DEV1","Pos_Name":"For Dev","PosID":"17","CustomerName":"Orange Tea","Set_Code":"OT TW","AccessCode":"1kBa8V6TI28XdSfMYy/PTAQk","Config_code":"OT CV Cfg","SalePriceColumn":"sprice","TakeawayPriceColumn":"sprice2","UBereatPriceColumn":"","PhoneOrderPriceColumn":""}
2022-06-12 00:03:20,290 [ 1] INFO  SNSelfOrder.App: doCheck 
2022-06-12 00:03:20,358 [ 5] ERROR SNSelfOrder.App:  CheckCode 2 :0
2022-06-12 00:03:27,021 [ 1] INFO  SNSelfOrder.App: image path is C:\Users\user\Desktop\SNSelfOrder\images
2022-06-12 00:03:27,022 [ 1] INFO  SNSelfOrder.App:  PageImage:6005
2022-06-12 00:03:27,026 [ 1] INFO  SNSelfOrder.App:  mod_button:0
2022-06-12 00:03:27,102 [ 1] INFO  SNSelfOrder.App:  posfastkey02:75
2022-06-12 00:03:27,111 [ 1] INFO  SNSelfOrder.App:  posfastkey02 image:6
2022-06-12 00:03:27,159 [ 1] INFO  SNSelfOrder.App:  psitem:47
2022-06-12 00:03:27,162 [ 1] INFO  SNSelfOrder.App:  psitem image:2
2022-06-12 00:03:27,164 [ 1] INFO  SNSelfOrder.App:  itemcombo:1
2022-06-12 00:03:27,316 [ 1] INFO  SNSelfOrder.App:  modifier:17
2022-06-12 00:03:27,317 [ 1] INFO  SNSelfOrder.App:  modifier image:0
2022-06-12 00:03:27,363 [ 1] INFO  SNSelfOrder.App:  psmodsetti image:1
2022-06-12 00:03:27,363 [ 1] INFO  SNSelfOrder.App:   ItemModValue:637905890073638368
2022-06-12 00:03:27,630 [ 1] INFO  SNSelfOrder.App:  itemmodifier:262
2022-06-12 00:03:27,630 [ 1] INFO  SNSelfOrder.App:   ItemVarietyValue:637905890076304960
2022-06-12 00:03:27,706 [ 1] INFO  SNSelfOrder.App:  itemvariety:55
2022-06-12 00:03:27,716 [ 1] INFO  SNSelfOrder.App:  promotions:4
2022-06-12 00:03:27,716 [ 1] INFO  SNSelfOrder.App:  end download check 
[Header]2022-06-12 00:04:58,276 [ 1] INFO  SNSelfOrder.App: ==Startup=====================>>>
2022-06-12 00:04:58,292 [ 1] INFO  SNSelfOrder.App: Config:C:\Users\user\Desktop\SNSelfOrder
2022-06-12 00:04:58,294 [ 1] INFO  SNSelfOrder.App: App_root path=:C:\Users\user\Desktop\SNSelfOrder
2022-06-12 00:04:58,294 [ 1] INFO  SNSelfOrder.App: PRPosUtils App Root Path =C:\Users\user\Desktop\SNSelfOrder
2022-06-12 00:04:58,294 [ 1] INFO  SNSelfOrder.App: Application_Startup at C:\Users\user\source\repos\SNSelfOrder\bin\Debug\net5.0-windows\
2022-06-12 00:04:58,294 [ 1] INFO  SNSelfOrder.App: PRPosUtils App Root Path =C:\Users\user\Desktop\SNSelfOrder
2022-06-12 00:04:58,295 [ 1] INFO  SNSelfOrder.App: data source=C:\Users\user\Desktop\SNSelfOrder\db\prposdb.db3
2022-06-12 00:04:58,911 [ 1] INFO  SNSelfOrder.App: http://35.201.9.186/
2022-06-12 00:04:58,911 [ 1] INFO  SNSelfOrder.App: zh-TW
2022-06-12 00:04:58,911 [ 1] INFO  SNSelfOrder.App: zh-TW
2022-06-12 00:04:58,911 [ 1] INFO  SNSelfOrder.App: NT$
2022-06-12 00:04:58,911 [ 1] INFO  SNSelfOrder.App: yyyy'年'M'月'd'日'
2022-06-12 00:04:58,911 [ 1] INFO  SNSelfOrder.App: yyyy/M/d
2022-06-12 00:04:58,911 [ 1] INFO  SNSelfOrder.App: tt hh:mm:ss
2022-06-12 00:05:00,094 [ 1] INFO  SNSelfOrder.App: CheckCode send:{"Code":"01036027","MAC":"1C-1B-0D-EC-67-CF","RetCode":"","Message":"","Token":"","CustomerID":"","Store_code":"","ExpiryDate":"","Pos_Code":"","Pos_Name":"","PosID":"","CustomerName":"","Set_Code":"","AccessCode":"","Config_code":"","SalePriceColumn":"","TakeawayPriceColumn":"","UBereatPriceColumn":"","PhoneOrderPriceColumn":""}
2022-06-12 00:05:00,539 [ 1] INFO  SNSelfOrder.App:  CheckCode return:{"Code":"01036027","MAC":"1C-1B-0D-EC-67-CF","RetCode":"0","Message":"","Token":"95b5788f6f0f421cbad452b3ac5034dd","CustomerID":"3","Store_code":"TW","ExpiryDate":"24/03/2023","Pos_Code":"OT DEV1","Pos_Name":"For Dev","PosID":"17","CustomerName":"Orange Tea","Set_Code":"OT TW","AccessCode":"1kBa8V6TI28XdSfMYy/PTAQk","Config_code":"OT CV Cfg","SalePriceColumn":"sprice","TakeawayPriceColumn":"sprice2","UBereatPriceColumn":"","PhoneOrderPriceColumn":""}
2022-06-12 00:05:00,583 [ 1] INFO  SNSelfOrder.App: doCheck 
2022-06-12 00:05:00,643 [ 5] ERROR SNSelfOrder.App:  CheckCode 2 :0
2022-06-12 00:05:05,988 [ 1] INFO  SNSelfOrder.App: image path is C:\Users\user\Desktop\SNSelfOrder\images
2022-06-12 00:05:05,989 [ 1] INFO  SNSelfOrder.App:  PageImage:5696
2022-06-12 00:05:05,993 [ 1] INFO  SNSelfOrder.App:  mod_button:0
2022-06-12 00:05:06,078 [ 1] INFO  SNSelfOrder.App:  posfastkey02:83
2022-06-12 00:05:06,088 [ 1] INFO  SNSelfOrder.App:  posfastkey02 image:6
2022-06-12 00:05:06,156 [ 1] INFO  SNSelfOrder.App:  psitem:67
2022-06-12 00:05:06,160 [ 1] INFO  SNSelfOrder.App:  psitem image:3
2022-06-12 00:05:06,162 [ 1] INFO  SNSelfOrder.App:  itemcombo:1
2022-06-12 00:05:06,315 [ 1] INFO  SNSelfOrder.App:  modifier:19
2022-06-12 00:05:06,316 [ 1] INFO  SNSelfOrder.App:  modifier image:0
2022-06-12 00:05:06,367 [ 1] INFO  SNSelfOrder.App:  psmodsetti image:1
2022-06-12 00:05:06,367 [ 1] INFO  SNSelfOrder.App:   ItemModValue:637905891063671473
2022-06-12 00:05:06,617 [ 1] INFO  SNSelfOrder.App:  itemmodifier:247
2022-06-12 00:05:06,617 [ 1] INFO  SNSelfOrder.App:   ItemVarietyValue:637905891066179764
2022-06-12 00:05:06,695 [ 1] INFO  SNSelfOrder.App:  itemvariety:56
2022-06-12 00:05:06,704 [ 1] INFO  SNSelfOrder.App:  promotions:2
2022-06-12 00:05:06,704 [ 1] INFO  SNSelfOrder.App:  end download check 
[Header]2022-06-12 00:09:18,623 [ 1] INFO  SNSelfOrder.App: ==Startup=====================>>>
2022-06-12 00:09:18,641 [ 1] INFO  SNSelfOrder.App: Config:C:\Users\user\Desktop\SNSelfOrder
2022-06-12 00:09:18,643 [ 1] INFO  SNSelfOrder.App: App_root path=:C:\Users\user\Desktop\SNSelfOrder
2022-06-12 00:09:18,643 [ 1] INFO  SNSelfOrder.App: PRPosUtils App Root Path =C:\Users\user\Desktop\SNSelfOrder
2022-06-12 00:09:18,643 [ 1] INFO  SNSelfOrder.App: Application_Startup at C:\Users\user\source\repos\SNSelfOrder\bin\Debug\net5.0-windows\
2022-06-12 00:09:18,643 [ 1] INFO  SNSelfOrder.App: PRPosUtils App Root Path =C:\Users\user\Desktop\SNSelfOrder
2022-06-12 00:09:18,643 [ 1] INFO  SNSelfOrder.App: data source=C:\Users\user\Desktop\SNSelfOrder\db\prposdb.db3
2022-06-12 00:09:19,373 [ 1] INFO  SNSelfOrder.App: http://35.201.9.186/
2022-06-12 00:09:19,373 [ 1] INFO  SNSelfOrder.App: zh-TW
2022-06-12 00:09:19,373 [ 1] INFO  SNSelfOrder.App: zh-TW
2022-06-12 00:09:19,373 [ 1] INFO  SNSelfOrder.App: NT$
2022-06-12 00:09:19,373 [ 1] INFO  SNSelfOrder.App: yyyy'年'M'月'd'日'
2022-06-12 00:09:19,373 [ 1] INFO  SNSelfOrder.App: yyyy/M/d
2022-06-12 00:09:19,373 [ 1] INFO  SNSelfOrder.App: tt hh:mm:ss
2022-06-12 00:09:20,678 [ 1] INFO  SNSelfOrder.App: CheckCode send:{"Code":"01036027","MAC":"1C-1B-0D-EC-67-CF","RetCode":"","Message":"","Token":"","CustomerID":"","Store_code":"","ExpiryDate":"","Pos_Code":"","Pos_Name":"","PosID":"","CustomerName":"","Set_Code":"","AccessCode":"","Config_code":"","SalePriceColumn":"","TakeawayPriceColumn":"","UBereatPriceColumn":"","PhoneOrderPriceColumn":""}
